model,input_setting,n,exact_match,token_f1,match_rate_f1_0_5,latency_s,errors,exact_ci95_low,exact_ci95_high,token_f1_ci95_low,token_f1_ci95_high,match_f1_0_5_ci95_low,match_f1_0_5_ci95_high
base,image,3000,0.13766666666666666,0.21015200136004114,0.15966666666666668,0.37619121541657174,0,0.12566666666666668,0.14766666666666667,0.1978554156843827,0.22096075456589884,0.14633333333333334,0.17066666666666666
dpo,image,3000,0.382,0.5520673934652898,0.5526666666666666,0.6571392992599867,0,0.36666666666666664,0.399,0.5366040289148444,0.5666054546316485,0.5343333333333333,0.5696666666666667
orpo,image,3000,0.471,0.6466659133431807,0.6746666666666666,0.5671353964734202,0,0.4523333333333333,0.4876666666666667,0.6322104257670301,0.6601283767588194,0.6593333333333333,0.6893333333333334
sft,image,3000,0.4603333333333333,0.6373958677962572,0.6643333333333333,0.5869953921108196,0,0.44366666666666665,0.476,0.6227931477532479,0.6507976462388038,0.648,0.6783333333333333
sft_gspo,image,3000,0.463,0.6397709155687751,0.6663333333333333,0.5773094862843864,0,0.44666666666666666,0.48,0.6258684531033687,0.6541115224139207,0.6496666666666666,0.6826666666666666

